,Price,Rating,Brand,RAM(GB),Storage(GB)
0,39999.0,4.1,iQOO,8,128
1,144900.0,4.6,Apple,8,128
2,11499.0,4.2,Samsung,4,64
3,18999.0,4.1,iQOO,4,128
4,64900.0,4.5,Apple,8,128
5,101900.0,4.5,Apple,8,128
6,13999.0,4.1,realme,4,64
7,14499.0,3.4,REDMI,4,64
8,149900.0,4.5,Apple,8,128
9,8999.0,3.5,Lava,3,64
10,16999.0,4.0,iQOO,4,64
11,18999.0,4.0,Samsung,6,128
12,24499.0,3.4,iQOO,6,256
13,16999.0,4.0,iQOO,4,64
14,20899.0,4.2,Motorola,8,128
15,14499.0,3.4,REDMI,4,64
16,30999.0,4.4,OnePlus,8,128
17,7999.0,3.5,Zeno,4,64
18,17999.0,4.0,realme,4,64
19,35999.0,4.3,Samsung,8,128
20,9699.0,3.8,Lava,4,64
21,23499.0,4.0,Redmi,8,128
22,21290.0,4.2,Motorola,8,128
23,15999.0,3.3,Tecno,4,128
24,22838.5,3.8,Samsung,4,128
25,224900.0,4.6,Apple,8,128
26,12850.0,3.4,REDMI,4,64
27,24999.0,3.4,OnePlus,4,128
28,20999.0,3.3,OnePlus,4,64
29,93999.0,4.6,OnePlus,16,512
30,19999.0,4.0,realme,4,128
31,14320.0,3.5,Poco,8,64
32,23499.0,4.2,realme,8,128
33,149900.0,4.5,Apple,8,128
34,37999.0,4.3,OnePlus,8,128
35,37999.0,4.3,OnePlus,8,128
36,31999.0,4.1,REDMI,8,256
37,8499.0,2.0,Peace,8,128
38,1949.0,4.0,Nokia,8,128
39,13745.0,3.7,Motorola,4,64
40,22999.0,4.1,Samsung,8,128
41,46999.0,4.3,OnePlus,8,256
42,76999.0,4.6,iQOO,12,256
43,13999.0,3.3,realme,4,128
44,20499.0,4.1,Redmi,6,128
45,1370.0,3.9,Motorola,8,128
46,46999.0,4.3,OnePlus,8,256
47,114999.0,4.5,Samsung,12,512
48,12599.0,3.8,realme,4,64
49,15249.0,3.2,Motorola,4,64
50,22779.0,4.2,Motorola,8,128
51,101900.0,4.5,Apple,8,128
52,1309.0,3.9,Nokia,8,128
53,12160.0,3.4,Samsung,8,128
54,23971.0,4.2,Motorola,8,128
55,51999.0,4.4,Nothing,8,128
56,20990.0,4.2,realme,6,128
57,16799.0,4.0,Samsung,6,128
58,61999.0,4.3,iQOO,12,512
59,59999.0,4.4,Samsung,8,128
60,46999.0,4.1,REDMI,12,256
61,15290.0,3.8,Samsung,4,128
62,9699.0,3.8,Lava,4,64
63,89900.0,4.6,Apple,8,128
64,10990.0,3.6,Poco,8,128
65,34990.0,4.0,Motorola,12,256
66,104999.0,3.9,Samsung,12,512
67,18999.0,4.5,Poco,8,128
68,12946.0,4.1,Samsung,4,64
69,15135.0,4.0,Samsung,8,128
70,12895.0,3.6,Moto,4,128
71,19999.0,3.2,Motorola,8,128
72,25000.0,4.1,Motorola,8,128
73,22838.5,4.0,Google,16,256
74,89999.0,4.5,vivo,12,256
75,21999.0,4.3,realme,4,128
76,72999.0,4.4,Oppo,8,128
77,12999.0,3.9,Lava,4,64
78,20999.0,4.0,vivo,4,128
79,99999.0,4.4,Samsung,12,256
80,16738.0,3.7,realme,4,64
81,234999.0,3.7,Samsung,16,128
82,21690.0,3.9,Samsung,8,128
83,8599.0,3.5,Zeno,3,64
84,84999.0,3.1,Samsung,12,512
85,27999.0,3.0,Redmi,6,128
86,15189.0,3.3,Motorola,4,64
87,24885.0,3.9,Redmi,6,128
88,66999.0,4.4,vivo,8,256
89,186999.0,4.0,Samsung,12,512
90,41999.0,4.2,REDMI,8,256
91,22838.5,4.3,REDMI,12,512
92,64999.0,4.5,vivo,12,256
93,21980.0,4.2,realme,6,128
94,20999.0,4.1,Motorola,8,128
95,30490.0,4.1,Motorola,12,128
96,34699.0,4.2,Motorola,12,256
97,19345.0,4.1,OPPO,4,128
98,89999.0,4.4,Oppo,8,128
99,9999.0,3.6,Itel,4,128
100,68999.0,4.5,Samsung,12,256
101,54999.0,4.5,OnePlus,12,256
102,18890.0,4.4,Poco,6,128
103,60690.0,4.7,Samsung,12,256
104,34999.0,3.9,REDMI,8,256
105,20999.0,4.0,POCO,8,128
106,48699.0,4.4,Google,8,128
107,29342.0,4.3,Nothing,8,128
108,46990.0,4.4,Samsung,12,256
109,144900.0,4.6,Apple,8,128
110,32999.0,3.8,realme,8,128
111,114999.0,4.2,vivo,16,512
112,32600.0,4.0,Motorola,8,256
113,119999.0,4.7,vivo,16,512
114,22838.5,4.2,Samsung,8,256
115,22838.5,4.2,iQOO,8,256
116,139999.0,4.4,XIAOMI,16,512
117,12399.0,4.4,Tecno,4,64
118,22838.5,3.8,OPPO,6,128
119,2699.0,4.0,Nokia,8,128
120,124999.0,4.5,Samsung,12,256
121,34999.0,3.5,Oppo,6,128
122,67630.0,4.3,Google,12,256
123,53994.0,4.4,Google,8,256
124,14480.0,4.0,POCO,4,128
125,73790.0,4.6,Samsung,12,512
126,29499.0,3.4,realme,8,256
127,22838.5,4.2,Oppo,8,128
128,33560.0,4.3,vivo,8,256
129,41999.0,4.2,Samsung,8,128
130,12999.0,3.2,realme,4,64
131,21349.0,4.0,Motorola,8,128
132,11999.0,3.5,POCO,8,128
133,63990.0,3.6,Samsung,8,256
134,30999.0,4.3,Lava,8,256
135,34990.0,4.0,realme,8,256
136,11699.0,3.4,Infinix,4,64
137,24990.0,4.0,Poco,6,128
138,18996.0,4.2,Poco,6,128
139,22838.5,4.2,Motorola,8,128
140,11768.0,4.1,POCO,8,128
141,36998.0,4.1,Oppo,8,128
142,22838.5,4.3,Motorola,8,256
143,3399.0,3.7,Nokia,8,128
144,22838.5,4.4,OPPO,8,128
145,18377.0,4.1,OPPO,4,64
146,11039.0,4.1,Poco,8,128
147,22838.5,3.9,POCO,8,128
148,14999.0,3.0,acerpure,4,64
149,28790.0,4.3,Nothing,8,128
150,56999.0,4.3,realme,8,256
151,22838.5,4.1,realme,8,128
152,16899.0,4.0,vivo,4,128
153,18184.0,3.6,Samsung,6,128
154,34887.0,4.1,Motorola,8,256
155,29980.0,3.8,Motorola,12,256
156,38999.0,4.2,vivo,8,128
157,22838.5,4.3,Motorola,8,128
158,17999.0,4.3,OPPO,4,128
159,22838.5,3.9,Motorola,8,128
160,22838.5,4.0,realme,8,256
161,22838.5,4.0,Samsung,8,128
162,16999.0,3.4,Oppo,4,64
163,12499.0,4.0,REDMI,3,64
164,14999.0,4.3,Redmi,4,64
165,21490.0,4.2,Motorola,8,128
166,17999.0,3.0,Samsung,4,128
167,22898.0,3.7,Samsung,6,128
168,18499.0,4.0,Samsung,4,128
169,22838.5,4.0,POCO,8,128
170,17835.0,4.1,Motorola,8,128
171,22838.5,4.0,vivo,6,128
172,34999.0,3.7,Oppo,8,256
173,49999.0,4.2,iQOO,12,256
174,19999.0,2.1,Spark,4,128
175,55900.0,4.4,OnePlus,16,256
176,139999.0,4.6,VIVO,16,512
177,22838.5,4.0,Motorola,8,128
178,30999.0,4.3,Samsung,8,128
179,19499.0,3.5,Acer,8,128
180,47999.0,4.1,OnePlus,8,128
181,12414.0,4.2,Motorola,8,128
182,22838.5,3.9,POCO,8,128
183,17499.0,4.3,realme,8,64
184,31999.0,3.6,Samsung,8,256
185,99995.0,4.1,Samsung,12,256
186,22838.5,4.2,POCO,6,128
187,13490.0,2.8,Alcatel,4,128
188,10599.0,4.2,Realme,4,64
189,22900.0,4.0,Samsung,6,128
190,22838.5,4.3,realme,12,512
191,56999.0,5.0,Samsung,8,128
192,20560.0,4.3,Motorola,8,128
193,44890.0,4.1,Samsung,8,128
194,32999.0,4.1,Poco,8,128
195,159999.0,4.6,vivo,16,512
196,22838.5,4.2,POCO,8,128
197,956.0,3.9,Lava,8,128
198,4199.0,3.9,Nokia,8,128
199,15690.0,3.6,Motorola,4,64
200,1275.0,3.8,Motorola,8,128
201,1033.0,4.0,Lava,8,128
202,21999.0,3.9,Xiaomi,6,128
203,1949.0,3.8,HMD,8,128
204,9999.0,4.1,PEACE,6,64
205,44988.0,4.1,Samsung,8,256
206,40499.0,2.4,Samsung,8,256
207,10999.0,4.1,PEACE,4,64
208,12499.0,3.9,Motorola,4,128
209,23950.0,4.3,Alcatel,8,128
210,49999.0,4.1,iQOO,12,256
211,37999.0,3.9,vivo,8,256
212,16889.0,4.0,Motorola,12,256
213,162999.0,4.3,Google,16,128
214,2799.0,3.4,JIO,8,128
215,27999.0,4.3,Nothing,8,128
216,899.0,3.1,JIO,8,128
217,1699.0,3.8,Nokia,8,128
218,1424.0,3.0,JioBharat,8,128
219,1066.0,3.6,Motorola,8,128
220,1309.0,3.8,Nokia,8,128
221,1285.0,3.7,Lava,8,128
222,1759.0,3.9,Lava,8,128
223,299.0,3.3,Kids,8,128
224,22838.5,4.0,Motorola,8,128
225,39442.0,4.2,vivo,8,128
226,17995.0,3.8,Alcatel,8,256
227,44850.0,4.1,Nothing,8,256
228,16990.0,2.9,POCO,8,128
229,14999.0,3.7,vivo,4,64
230,42999.0,4.0,realme,8,256
231,15749.0,3.2,Poco,4,128
232,21099.0,4.0,Motorola,8,256
233,31999.0,4.2,Redmi,8,128
234,28999.0,5.0,vivo,6,256
235,34999.0,4.2,realme,8,256
236,12949.0,2.4,AI,6,128
237,16990.0,4.0,POCO,6,64
238,24999.0,4.2,realme,6,128
239,20900.0,4.3,MOTOROLA,8,128
