Product,Price,Rating,Brand,Ram(GB),Ssd_Storage(GB),Color,Processor
0,75990.0,3.6,HP,16,512,Silver,Intel
1,69990.0,3.2,HP,16,512,Silver,Snapdragon
2,44999.0,4.0,Lenovo,8,512,Silver,AMD
3,67990.0,4.0,ASUS,16,512,Silver,Intel
4,73990.0,4.8,Apple,8,256,Indigo,Intel
5,73990.0,4.7,Apple,8,256,Silver,Intel
6,65990.0,4.1,ASUS,16,512,Blue,Intel
7,69990.0,3.8,DELL,16,512,Grey,Intel
8,84990.0,4.0,HP,16,1024,Silver,Snapdragon
9,172490.0,4.7,Apple,16,1024,sky-blue,Intel
10,42990.0,4.2,Acer,15,512,Gray,AMD
11,44990.0,4.1,Acer,8,256,Silver,AMD
12,35690.0,3.4,Acer,4,256,Silver,Intel
13,35990.0,1.0,Acer,8,256,Silver,Intel
14,62490.0,4.0,DELL,16,746,Black,Intel
15,57490.0,3.9,DELL,8,746,Black,Intel
16,38700.0,2.8,Acer,8,746,Silver,AMD
17,29990.0,4.087142857142857,HP,4,746,Gray,MediaTek
18,50500.0,5.0,HP,5,512,Silver,Intel
19,82654.0,3.8,Lenovo,16,512,Grey,Intel
20,44990.0,4.2,HP,12,512,Silver,Intel
21,69790.0,4.0,HP,16,512,Silver,AMD
22,69990.0,3.2,HP,16,512,Silver,Snapdragon
23,342490.0,4.6,Apple,24,2048,Silver,Intel
24,194990.0,4.8,Apple,24,1024,sky-blue,Intel
25,49450.0,4.1,HP,8,512,Silver,AMD
26,28990.0,4.3,ASUS,4,64,Grey,MediaTek
27,64390.0,3.8,Acer,15,512,Silver,Intel
28,73990.0,4.8,Apple,8,256,Indigo,Intel
29,49990.0,3.7,Acer,8,512,Silver,AMD
30,95990.0,4.1,HP,6,512,Blue,AMD
31,54990.0,4.4,Lenovo,8,512,Grey,AMD
32,81490.0,5.0,DELL,16,746,sky-blue,Intel
33,44990.0,5.0,Acer,8,256,sky-blue,AMD
34,69999.0,3.8,Lenovo,16,512,Grey,AMD
35,62490.0,4.0,DELL,16,746,Black,Intel
36,53990.0,2.0,DELL,8,512,Black,Intel
37,58800.0,4.087142857142857,Lenovo,5,512,Grey,Intel
38,60250.0,5.0,Acer,15,512,Silver,Intel
39,56900.0,5.0,Lenovo,16,512,Grey,AMD
40,54058.0,4.6,Lenovo,8,512,Grey,Intel
41,55990.0,4.1,Lenovo,8,512,Grey,AMD
42,82990.0,4.2,ASUS,16,512,Silver,Intel
43,58990.0,4.3,HP,16,512,sky-blue,Intel
44,32990.0,4.087142857142857,HP,4,746,Gray,MediaTek
45,67400.0,3.9,HP,16,512,Silver,AMD
46,68990.0,5.0,Lenovo,5,512,Grey,Intel
47,69990.0,3.2,HP,16,512,Silver,Snapdragon
48,342490.0,4.6,Apple,24,2048,Silver,Intel
49,64390.0,3.8,Acer,15,512,Silver,Intel
50,25640.0,5.0,MaxBook,8,256,sky-blue,Intel
51,87990.0,4.2,Lenovo,24,1024,Grey,Intel
52,73990.0,4.8,Apple,8,256,Indigo,Intel
53,73990.0,4.7,Apple,8,256,Silver,Intel
54,42999.0,3.2,HP,8,512,Black,Intel
55,24990.0,3.7,ASUS,4,64,Blue,MediaTek
56,194990.0,4.8,Apple,24,1024,sky-blue,Intel
57,87990.0,4.1,DELL,16,512,Silver,Intel
58,85990.0,3.3,HP,24,1024,Silver,Intel
59,68699.0,3.0,HP,16,512,Silver,Intel
60,54990.0,4.4,Lenovo,8,512,Grey,AMD
61,84990.0,2.8,Lenovo,16,512,Grey,Intel
62,47990.0,3.8,Acer,8,512,Silver,AMD
63,67999.0,4.2,Lenovo,16,512,Grey,AMD
64,39890.0,3.3,Acer,12,512,Silver,Intel
65,84990.0,4.0,HP,16,1024,Silver,Snapdragon
66,48990.0,3.5,ASUS,8,512,Silver,AMD
67,56690.0,3.6,Lenovo,16,512,Grey,AMD
68,77990.0,3.0,HP,16,512,Silver,Intel
69,53490.0,4.087142857142857,Lenovo,5,512,Grey,AMD
70,31990.0,4.3,Primebook,8,746,Gray,MediaTek
71,98990.0,3.7,Lenovo,16,512,Grey,Intel
72,69990.0,3.2,HP,16,512,Silver,Snapdragon
73,64390.0,3.8,Acer,15,512,Silver,Intel
74,342490.0,4.6,Apple,24,2048,Silver,Intel
75,77990.0,3.0,HP,16,512,Silver,Intel
76,45990.0,3.4,Acer,8,256,Silver,AMD
77,73990.0,4.8,Apple,8,256,Indigo,Intel
78,85990.0,4.0,HP,16,1024,Silver,Snapdragon
79,129990.0,4.1,HP,8,1024,Silver,Intel
80,98990.0,3.7,Lenovo,16,512,Grey,Intel
81,156555.0,4.2,Alienware,8,1024,Indigo,Intel
82,81490.0,5.0,DELL,16,746,sky-blue,Intel
83,65990.0,3.9,HP,16,1024,Silver,Intel
84,66690.0,5.0,DELL,16,512,sky-blue,Intel
85,54990.0,4.4,Lenovo,8,512,Grey,AMD
86,194990.0,4.8,Apple,24,1024,sky-blue,Intel
87,84990.0,2.8,Acer,32,1024,sky-blue,AMD
88,63990.0,4.1,ASUS,16,512,Silver,Snapdragon
89,132990.0,4.0,Lenovo,6,512,Grey,AMD
90,53990.0,2.0,DELL,8,512,Black,Intel
91,87990.0,4.1,DELL,16,512,Silver,Intel
92,49990.0,4.0,Acer,8,512,Gray,Intel
93,54990.0,3.0,HP,8,512,Silver,AMD
94,62500.0,4.1,HP,15,512,Silver,Intel
95,66798.0,4.7,HP,8,512,Silver,Intel
96,61200.0,4.2,Lenovo,16,512,Grey,AMD
97,69990.0,3.2,HP,16,512,Silver,Snapdragon
98,64390.0,3.8,Acer,15,512,Silver,Intel
99,342490.0,4.6,Apple,24,2048,Silver,Intel
100,42999.0,3.8,HP,15,256,Black,AMD
101,54990.0,4.087142857142857,ASUS,8,512,Black,AMD
102,54990.0,4.4,Lenovo,8,512,Grey,AMD
103,73990.0,4.8,Apple,8,256,Indigo,Intel
104,48990.0,4.0,Acer,8,256,Grey,Intel
105,42990.0,4.5,ASUS,8,128,sky-blue,MediaTek
106,73990.0,4.7,Apple,8,256,Silver,Intel
107,79990.0,4.1,HP,16,512,Silver,Snapdragon
108,79569.0,4.087142857142857,Lenovo,5,512,Grey,Intel
109,184990.0,4.4,ASUS,8,746,Gray,AMD
110,84990.0,2.8,Lenovo,16,512,Grey,Intel
111,194990.0,4.8,Apple,24,1024,sky-blue,Intel
112,63990.0,3.6,HP,16,512,Silver,Intel
113,69990.0,3.2,HP,16,512,Silver,Snapdragon
114,24900.0,4.087142857142857,Tech,4,128,sky-blue,Intel
115,249990.0,3.7,ASUS,8,746,Gray,Intel
116,57250.0,3.9,Lenovo,16,512,Grey,AMD
117,91700.0,3.3,Lenovo,16,746,sky-blue,AMD
118,85890.0,4.5,DELL,16,512,Silver,Intel
119,99990.0,4.0,HP,6,512,Silver,Intel
120,68480.0,5.0,HP,16,512,Silver,Intel
121,59990.0,4.1,Acer,15,746,Gray,AMD
122,69990.0,3.2,HP,16,512,Silver,Snapdragon
123,464490.0,5.0,Apple,36,2048,Black,Intel
124,194990.0,4.8,Apple,24,1024,sky-blue,Intel
125,84990.0,3.8,Lenovo,16,512,Blue,Intel
126,482490.0,5.0,Lenovo,24,1024,Black,Intel
127,73990.0,4.8,Apple,8,256,Indigo,Intel
128,64390.0,3.8,Acer,15,512,Silver,Intel
129,43950.0,4.0,HP,8,256,Silver,AMD
130,149990.0,4.2,HP,8,1024,Black,Intel
131,68490.0,3.9,Lenovo,16,512,Grey,AMD
132,54990.0,4.4,Lenovo,8,512,Grey,AMD
133,50031.0,4.087142857142857,HP,5,512,Silver,Intel
134,54650.0,3.8,Acer,8,512,Silver,Intel
135,222990.0,5.0,Apple,24,1024,sky-blue,Intel
136,73990.0,4.7,Apple,8,256,Silver,Intel
137,234454.0,4.087142857142857,HP,5,1024,sky-blue,Intel
