Price,Rating,Brand,Ram(GB),Ssd_Storage(GB),Color,Processor
75990.0,3.6,HP,16,512,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
44999.0,4.0,Lenovo,8,512,Silver,AMD
67990.0,4.0,ASUS,16,512,Silver,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
73990.0,4.7,Apple,8,256,Silver,Intel
65990.0,4.1,ASUS,16,512,Blue,Intel
69990.0,3.8,DELL,16,512,Grey,Intel
84990.0,4.0,HP,16,1024,Silver,Snapdragon
68490.0,3.9,Lenovo,16,512,Grey,AMD
42990.0,4.2,Acer,15,512,Gray,AMD
44990.0,4.1,Acer,8,256,Silver,AMD
35690.0,3.4,Acer,4,256,Silver,Intel
35990.0,1.0,Acer,8,256,Silver,Intel
62490.0,4.0,DELL,16,721,Black,Intel
57490.0,3.9,DELL,8,721,Black,Intel
29990.0,4.101663201663202,HP,4,721,Gray,MediaTek
38700.0,2.8,Acer,8,721,Silver,AMD
50500.0,5.0,HP,5,512,Silver,Intel
82654.0,3.8,Lenovo,16,512,Grey,Intel
44990.0,4.2,HP,12,512,Silver,Intel
69790.0,4.0,HP,16,512,Silver,AMD
75990.0,3.6,HP,16,512,Silver,Intel
69990.0,3.2,HP,16,512,Silver,Snapdragon
342490.0,4.6,Apple,24,2048,Silver,Intel
49450.0,4.1,HP,8,512,Silver,AMD
49990.0,3.7,Acer,8,512,Silver,AMD
64390.0,3.8,Acer,15,512,Silver,Intel
73990.0,4.8,Apple,8,256,Indigo,Intel
61490.0,5.0,HP,15,512,Silver,Intel
44990.0,5.0,Acer,8,256,sky-blue,AMD
194990.0,4.8,Apple,24,1024,sky-blue,Intel
54990.0,4.4,Lenovo,8,512,Grey,AMD
95990.0,4.1,HP,6,512,Blue,AMD
58800.0,4.101663201663202,Lenovo,5,512,Grey,Intel
68490.0,3.9,Lenovo,16,512,Grey,AMD
73990.0,4.7,Apple,8,256,Silver,Intel
69999.0,3.8,Lenovo,16,512,Grey,AMD
60250.0,5.0,Acer,15,512,Silver,Intel
32990.0,4.101663201663202,HP,4,721,Gray,MediaTek
82990.0,4.2,ASUS,16,512,Silver,Intel
56900.0,5.0,Lenovo,16,512,Grey,AMD
55990.0,4.1,Lenovo,8,512,Grey,AMD
