,customer_id,age,annual_income,credit_score,employment-type,education__level,marital_status,city,customer_segment,loan_type,loan_amount_(inr),tenure_months,monthly_visits,debt_to_income,loan_approved?,valid_age
0,CUST101160,37.0,297809.0,698.0,Self-Employed,12Th,Married,Mumbai,Mass,Education,378342.0,60,3.0,True,No,True
1,CUST100077,36.0,1048283.0,874.0,Contract,Graduate,Single,Jaipur,Premium,Auto,751792.0,48,11.0,True,Yes,True
2,CUST100317,55.0,1043481.0,661.0,Self-Employed,Postgraduate,Married,Kolkata,Affluent,Auto,892792.0,84,4.0,False,Yes,True
3,CUST101041,54.0,369591.0,722.0,Salaried,Graduate,Single,Kolkata,Premium,Home,908250.0,84,10.0,True,Yes,True
4,CUST101358,27.0,666989.0,727.0,Self-Employed,Graduate,Married,Hyderabad,Mass,Education,386370.0,72,4.0,True,Yes,True
5,CUST100925,32.0,317590.0,690.0,Salaried,Graduate,M,Mumbai,Premium,Auto,235549.0,120,5.0,True,No,True
6,CUST100758,39.0,322966.0,707.0,Contract,Graduate,Married,Chennai,Mass,Personal,563319.0,24,7.0,True,No,True
7,CUST100793,54.0,999108.0,689.0,Salaried,Graduate,Divorced,Hyderabad,Sme,Auto,767783.0,48,,True,Yes,True
8,CUST100965,65.0,478191.0,758.0,Contract,Graduate,Divorced,Bengaluru,Premium,Auto,753872.0,72,5.0,True,No,True
9,CUST101198,67.0,1063307.0,774.0,Salaried,Graduate,Married,Jaipur,Affluent,Home,549693.0,120,2.0,True,Yes,True
10,CUST101088,67.0,649824.0,759.0,Salaried,Postgraduate,Married,Bengaluru,Affluent,Home,230446.0,84,6.0,True,Yes,True
11,CUST100679,45.0,856826.0,662.0,Self Employed,Postgraduate,Divorced,,Affluent,Education,1412363.0,12,5.0,True,Yes,True
12,CUST100372,52.0,652659.0,849.0,Salaried,Diploma,Married,Kolkata,Premium,Home,316887.0,72,5.0,True,Yes,True
13,CUST101488,21.0,801951.0,752.0,Salaried,Postgraduate,Married,Delhi,Mass,Business,444292.0,36,1.0,True,Yes,True
14,CUST101158,60.0,1548824.0,698.0,Contract,Graduate,Married,Pune,Sme,Home,333121.0,24,10.0,True,No,True
15,CUST101338,34.0,272618.0,740.0,Business,Graduate,Married,Bengaluru,Premium,Personal,200194.0,48,,True,No,True
16,CUST101002,55.0,332315.0,720.0,Self-Employed,, MARRIED ,Chennai,Mass,Personal,188614.0,72,4.0,True,Yes,True
17,CUST100031,42.0,653583.0,651.0,Salaried,,Single,Mumbai,Mass,Education,180784.0,12,2.0,False,No,True
18,CUST100050,57.0,1457160.0,687.0,Business,12Th,Divorced,Kolkata,Affluent,Home,258267.0,12,4.0,False,Yes,True
19,CUST100241,27.0,1412437.0,637.0,Business,Postgraduate,Married,Mumbai,Affluent,Education,752049.0,48,4.0,True,Yes,True
20,CUST100310,26.0,1073659.0,681.0,Salaried,Graduate,unknown,Kolkata,Affluent,Auto,911691.0,60,5.0,True,No,True
21,CUST100354,,302606.0,726.0,,Graduate,Single,Bengaluru,Mass,Auto,269320.0,84,6.0,True,No,False
22,CUST100125,61.0,692204.0,765.0,Business,Graduate,Married,Jaipur,Mass,Personal,298406.0,36,5.0,True,Yes,True
23,CUST100382,65.0,872829.0,,Self-Employed,Postgraduate,Married,Delhi,Mass,Personal,442006.0,72,3.0,True,No,True
24,CUST101023,61.0,828927.0,731.0,Salaried,Diploma,Divorced,Kolkata,Affluent,Home,154672.0,120,7.0,True,Yes,True
25,CUST100071,58.0,454340.0,743.0,Business,Graduate,Single,Jaipur,Premium,Business,1545154.0,72,3.0,True,Yes,True
26,CUST101126,60.0,244414.0,701.0,Self-Employed,Graduate,Married,Delhi,Affluent,Business,750870.0,24,,True,No,True
27,CUST100705,25.0,709105.0,673.0,Salaried,Postgraduate,Married,Bengaluru,Affluent,Business,401589.0,36,3.0,True,Yes,True
28,CUST100942,39.0,383334.0,749.0,Contract,Graduate,Married,Delhi,Affluent,Auto,557799.0,36,8.0,True,Yes,True
29,CUST100989,,650000.0,778.0,Self-Employed,Graduate,Divorced,Pune,Unknown,Home,1083921.0,48,5.0,True,No,False
30,CUST100571,65.0,705165.0,807.0,Business,Graduate,Married,Delhi,Affluent,Personal,247744.0,60,5.0,True,Yes,True
31,CUST100893,45.0,,815.0,Self-Employed,Postgraduate,Married,Pune,Affluent,Business,549241.0,24,4.0,True,No,True
32,CUST100576,38.0,975358.0,757.0,Salaried,Graduate,Married,Hyderabad,Affluent,Business,289685.0,48,4.0,True,Yes,True
33,CUST100586,64.0,197598.0,722.0,Contract,Graduate,Single,Delhi,Premium,Home,453687.0,24,2.0,True,Yes,True
34,CUST101484,26.0,868938.0,667.0,Business,Postgraduate,Divorced,Hyderabad,Mass,Auto,,24,5.0,True,Yes,True
35,CUST101175,21.0,571974.0,751.0,Salaried,12Th,M,Kolkata,Mass,Education,500.0,120,5.0,True,Yes,True
36,CUST100622,43.0,798164.0,783.0,Contract,Postgraduate,Single,Bengaluru,Mass,Personal Loan,475340.0,120,6.0,True,No,True
37,CUST100670,27.0,418793.0,,Unknown,Graduate,Single,Jaipur,Mass,Business,400096.0,120,6.0,True,No,True
38,CUST101075,42.0,267183.0,679.0,Business,Graduate,Married,Pune,Mass,Home Loan,266734.0,72,3.0,True,Yes,True
39,CUST101306,52.0,320699.0,812.0,Salaried,Postgraduate,Married,Jaipur,Affluent,Education,339986.0,84,6.0,True,Yes,True
40,CUST101199,58.0,558176.0,723.0,Business,Postgraduate,Single,Chennai,Affluent,Personal,1054028.0,24,3.0,True,Yes,True
41,CUST101081,64.0,,749.0,Self-Employed,Diploma,Single,Kolkata,Premium,Personal,254754.0,24,5.0,True,No,True
42,CUST100614,39.0,739976.0,653.0,Business,Diploma,Single,Pune,Mass,Business,561520.0,72,5.0,True,Yes,True
43,CUST100494,49.0,461493.0,644.0,Self-Employed,Graduate,Married,Pune,Mass,Home Loan,380343.0,48,7.0,True,Yes,True
44,CUST100355,66.0,419386.0,710.0,Salaried,Postgraduate,Married,Hyderabad,Mass,Business,335495.0,48,5.0,True,Yes,True
45,CUST100262,29.0,311759.0,660.0,Business,Postgraduate,Married,Delhi,Affluent,Home,171792.0,12,8.0,True,Yes,True
46,CUST100060,53.0,347825.0,592.0,Business,Graduate,Married,Bengaluru,Mass,Personal,184642.0,120,2.0,True,Yes,True
47,CUST100598,57.0,778581.0,,,Graduate,Married,Kolkata,Unknown,Home,352976.0,84,6.0,True,Yes,True
48,CUST101465,61.0,281894.0,650.0,Salaried,12Th,Single,Delhi,Affluent,Auto,412166.0,48,8.0,True,Yes,True
49,CUST100979,37.0,282271.0,779.0,Salaried,Diploma,Married,Delhi,Mass,Auto,161926.0,36,2.0,True,Yes,True
50,CUST100260,48.0,120000.0,698.0,Self-Employed,Graduate,Married,Pune,Premium,Home,352996.0,72,5.0,True,No,True
